@relation data-weka.filters.unsupervised.attribute.NominalToBinary-Rlast

@attribute value numeric
@attribute status {0,1}

@data
248,0
319,0
692,1
865,1
218,0
658,1
596,1
15,0
153,0
678,1
709,1
915,1
510,1
595,1
573,1
564,1
868,1
471,0
979,1
925,1
879,1
463,0
871,1
207,0
635,1
198,0
178,0
820,1
813,1
374,0
562,1
987,1
921,1
212,0
158,0
787,1
288,0
313,0
920,1
289,0
282,0
817,1
573,1
474,0
705,1
953,1
321,0
536,1
621,1
746,1
429,0
134,0
418,0
884,1
219,0
708,1
918,1
781,1
491,0
809,1
422,0
442,0
390,0
835,1
889,1
280,0
863,1
154,0
139,0
547,1
793,1
468,0
219,0
449,0
541,1
817,1
958,1
373,0
319,0
637,1
482,0
229,0
222,0
377,0
106,0
305,0
256,0
587,1
602,1
603,1
419,0
149,0
488,0
149,0
893,1
711,1
542,1
318,0
360,0
385,0
